Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT2, RESET2",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,2,SolderJumper_2_Open,
C1,CP_EIA-3216-18_Kemet-A,1,10uF,C7171
"C11, C6",0603,2,10uF,C96446
"C13, C14",0603,2,1uF,C15849
"C2, C3, C5",0603,3,100nF,C14663
C4,CP_EIA-3528-15_AVX-H,1,22uF,C7199
"C7, C8",0603,2,22pF,C1653
D1,D_SOD-123,1,D_Schottky,C82544
D3,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,C2874885
J4,USBPCB,1,USB_A,
"R2, R3, R7",0603,3,10k,C25804
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U3,USON-10_2.5x1.0mm_P0.5mm,1,TPD4E02B04DQA,C1973193
U4,ESP32-S2-MINI-1,1,ESP32-S3-MINI-1,
